class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
e,x,s,y,t,a,f,w,b,g,t,b,s,s,w,w,p,w,o,p,n,v,d
e,f,s,y,f,n,f,c,b,p,t,e,f,s,w,w,p,w,o,f,n,y,g
e,k,s,w,f,c,f,w,b,g,t,,k,s,w,n,p,w,t,e,w,n,g
e,f,f,n,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,d
p,x,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u
e,f,y,p,f,n,f,c,b,e,e,,s,s,b,e,p,w,t,e,w,c,w
p,f,s,w,t,n,f,c,b,g,e,b,s,s,w,w,p,w,o,p,r,n,g
p,x,y,e,f,a,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,g
p,f,s,e,f,f,f,c,n,h,t,,s,k,p,w,p,w,o,e,o,v,g
e,x,y,g,t,f,f,c,b,w,t,c,s,s,w,w,p,w,o,p,k,n,g
p,x,s,g,t,n,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,v,u
p,x,s,e,t,y,f,c,b,b,e,,k,s,p,w,p,w,o,e,w,v,l
e,x,s,n,t,n,f,c,b,e,e,,s,s,e,w,p,w,t,l,w,c,w
e,f,f,e,t,f,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,a,g
e,f,s,y,f,n,a,c,b,n,t,,s,s,o,w,p,o,o,p,y,c,l
e,x,f,g,f,n,f,w,b,w,e,,s,k,w,w,p,w,t,p,w,n,l
p,x,s,n,t,f,f,c,n,b,t,,s,k,p,w,p,w,o,e,w,v,p
e,f,f,n,t,n,f,c,b,w,t,b,s,k,g,w,p,w,o,p,n,y,d
e,x,f,w,t,n,f,c,n,h,e,,k,f,w,w,p,w,o,p,h,v,d
e,x,y,e,t,n,f,c,b,w,t,b,k,s,g,p,p,w,o,p,k,y,g
e,b,f,g,f,y,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,d
p,b,f,y,f,a,f,c,b,g,t,b,k,k,e,n,p,w,o,l,h,y,d
p,x,y,g,f,s,f,c,n,w,t,r,s,k,w,p,p,w,o,e,w,v,d
p,x,f,p,t,c,f,w,n,g,e,b,k,s,w,w,p,w,o,p,w,s,d
p,x,y,w,t,p,f,c,n,b,t,b,k,s,w,w,p,w,o,p,k,s,u
e,f,y,n,t,y,f,c,b,w,e,,s,s,g,p,p,w,o,p,k,y,g
e,f,s,g,t,n,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
p,f,y,e,f,s,f,c,n,b,t,b,k,s,p,p,p,w,o,l,w,v,p
e,x,y,y,t,n,f,c,n,w,e,r,s,y,w,w,p,w,o,p,k,s,g
p,f,s,y,f,m,f,c,n,w,t,,s,s,p,w,p,w,o,l,w,v,l
p,x,s,e,f,f,f,c,b,b,t,,s,y,g,p,p,w,o,e,w,y,p
p,x,f,y,f,n,f,c,b,h,e,b,k,k,n,b,p,w,o,l,w,s,u
p,f,s,n,t,y,f,c,n,b,t,,s,s,p,w,p,w,o,e,w,s,d
p,x,y,e,t,s,f,c,n,b,t,,s,k,w,p,p,w,t,p,w,v,d
e,x,f,n,t,n,f,c,b,p,t,b,s,k,p,p,p,w,o,p,n,y,d
e,x,y,y,t,a,f,c,b,n,e,,s,s,w,g,p,w,o,p,w,s,m
e,x,y,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,w,v,p
e,f,s,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,y,m
p,k,s,e,t,n,f,c,n,p,e,,s,s,p,g,p,w,o,e,w,v,d
p,x,y,w,f,f,f,c,b,p,e,b,s,k,w,b,p,w,o,l,k,y,g
e,x,s,y,f,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
e,f,s,n,f,n,f,w,b,p,t,e,f,f,w,p,p,w,o,e,w,s,g
p,x,s,y,f,n,f,c,n,y,e,,s,s,p,w,p,w,o,e,w,v,p
p,f,f,n,f,y,f,c,n,n,t,,s,s,w,w,p,w,o,e,n,v,l
e,f,f,n,f,n,f,c,b,k,t,b,s,s,w,p,p,w,o,e,n,a,d
e,x,y,n,f,a,f,c,b,g,e,r,s,y,w,w,p,o,o,f,n,y,g
p,x,f,g,f,c,f,w,n,u,e,b,s,s,w,n,p,w,o,p,k,s,m
e,x,f,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,y,d
e,x,s,n,t,n,f,c,b,p,e,b,s,y,g,w,p,w,o,p,n,s,d
p,x,f,g,f,c,f,w,b,n,e,b,s,s,w,g,p,w,o,p,k,v,d
p,x,y,n,f,s,f,c,n,b,t,,k,k,w,p,p,w,o,e,w,v,p
p,x,f,g,f,f,f,w,b,p,e,b,k,k,w,p,p,w,o,l,w,y,p
e,f,s,w,f,s,f,c,b,w,t,c,s,s,w,w,p,w,o,p,k,a,g
p,x,y,e,f,f,f,c,n,b,t,,k,s,p,p,p,w,o,e,w,v,g
p,f,s,g,t,f,f,c,b,h,t,b,f,y,w,w,p,w,o,p,h,s,g
p,f,s,n,f,n,f,c,n,g,t,,s,s,w,p,p,w,o,e,k,v,l
e,f,f,n,f,n,f,w,b,p,t,e,s,s,w,p,p,w,t,e,k,s,d
e,k,y,n,f,n,f,w,b,e,e,,k,s,e,e,p,w,t,e,w,c,w
e,x,s,n,f,n,a,c,b,o,e,,s,s,o,w,p,o,o,p,n,s,l
p,x,y,y,f,f,f,c,b,h,t,b,k,k,w,g,p,w,o,p,h,v,d
e,f,f,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,v,d
p,f,y,y,f,f,f,c,b,h,t,b,s,k,w,n,p,w,o,e,h,v,m
p,x,f,y,f,f,f,c,b,h,e,b,k,s,p,b,p,w,o,l,h,y,g
p,x,y,n,f,f,f,c,b,g,e,b,s,k,n,b,p,w,o,l,h,v,d
e,f,y,n,f,n,f,w,b,e,e,b,s,s,e,w,p,w,t,p,w,v,w
e,x,s,g,f,n,f,w,b,w,e,,s,s,w,w,p,w,t,p,w,y,l
p,f,f,g,f,f,f,c,b,g,e,,k,k,w,p,p,w,o,l,h,y,p
e,x,y,w,t,f,f,c,b,w,e,r,s,s,w,w,p,w,o,p,n,y,p
p,f,y,n,f,f,f,c,n,g,e,e,k,s,w,w,p,w,o,p,n,v,g
p,f,y,y,f,f,f,c,b,n,e,b,k,k,p,w,p,w,o,p,w,v,d
e,x,s,w,f,n,f,w,b,h,e,,k,k,w,w,p,w,t,p,w,y,d
e,x,y,n,t,n,f,c,n,p,t,b,s,s,g,p,p,w,o,p,n,v,d
e,f,s,y,t,f,f,c,b,w,e,c,s,s,w,w,p,w,t,p,k,n,g
e,x,f,g,t,n,f,c,b,w,t,,k,s,g,g,p,w,o,p,n,v,d
p,x,s,n,t,n,f,c,n,b,t,,s,k,w,w,p,w,o,e,n,v,p
e,f,f,e,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,v,d
e,x,f,g,t,p,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,s,d
p,x,y,e,t,f,f,c,n,p,t,,s,k,w,w,p,w,o,e,n,v,d
p,x,y,n,f,f,f,c,n,h,t,,k,k,w,n,p,w,o,e,w,v,d
e,f,f,e,t,n,f,c,b,n,t,b,s,k,w,p,p,w,o,e,n,v,d
e,b,s,y,t,a,f,c,n,g,t,c,s,s,w,w,p,w,o,p,k,v,d
e,x,s,n,t,n,f,c,b,w,e,b,s,k,w,w,p,w,t,p,w,v,p
e,x,s,w,f,n,f,w,n,n,t,e,k,f,w,w,p,o,o,e,k,y,g
p,x,s,n,f,s,f,c,b,b,t,,k,s,p,p,p,w,o,e,n,v,d
p,f,y,g,f,n,f,c,b,p,e,e,k,k,p,p,p,w,o,l,h,a,g
e,k,f,n,f,n,f,w,n,w,e,b,f,s,w,w,p,w,o,e,n,v,l
e,x,y,p,t,c,f,c,b,e,e,,s,s,p,e,p,w,t,e,n,c,d
p,x,y,e,f,s,f,c,n,b,e,,k,s,p,p,p,w,o,e,w,v,l
p,x,y,g,f,f,f,c,n,b,e,b,k,k,p,w,p,w,o,l,h,n,d
p,f,f,y,t,f,f,c,b,h,e,b,k,k,b,n,p,w,t,l,h,y,l
p,f,s,e,f,y,f,c,n,b,e,,k,s,w,p,p,w,o,e,w,v,g
p,k,y,n,f,s,f,c,b,b,t,,s,k,p,p,p,w,o,e,w,v,g
p,x,f,n,f,n,f,c,n,h,t,b,k,k,n,b,p,w,o,e,h,y,p
p,x,y,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,d
p,k,s,n,f,y,f,c,b,w,t,,s,s,p,w,p,w,o,e,w,v,d
p,f,s,n,f,y,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,p
p,f,y,e,f,y,f,c,n,b,t,,k,s,p,p,p,w,o,p,w,y,d
e,f,y,w,f,f,f,w,b,p,t,e,s,s,w,w,p,w,o,p,n,y,g
p,f,y,g,f,f,f,c,b,h,t,b,k,k,b,b,p,w,o,l,h,v,d
e,x,y,w,t,p,f,c,b,h,e,c,s,s,w,w,p,w,o,p,n,s,g
p,x,s,e,f,f,f,c,n,b,t,,s,k,p,w,p,w,o,e,w,v,l
p,k,y,e,f,s,f,c,n,b,t,,k,k,w,w,p,w,o,e,w,v,p
e,b,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,d
p,x,y,y,t,a,f,c,n,h,e,b,s,s,n,p,p,w,o,l,h,v,g
p,x,y,e,f,f,f,c,n,b,t,b,s,k,w,p,p,w,o,p,h,v,d
p,f,y,e,f,l,f,c,n,w,t,e,s,k,p,p,p,w,o,e,h,y,d
e,x,y,n,t,y,f,c,b,p,t,,s,s,g,p,p,w,o,p,k,v,d
p,x,y,y,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,u
e,f,s,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g
e,f,f,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,u
p,f,y,y,f,f,f,c,b,w,e,b,k,k,p,b,p,o,o,l,h,v,g
p,k,s,e,f,s,f,c,n,b,t,,s,k,p,w,p,w,o,p,n,v,l
e,x,y,w,f,n,f,w,b,u,t,,s,k,w,p,p,w,t,p,w,s,g
p,x,s,n,t,f,f,c,b,w,t,e,f,s,w,p,p,w,o,p,n,v,g
e,f,f,y,t,n,f,c,b,w,t,b,k,s,w,p,p,w,o,p,w,y,d
e,k,y,n,f,n,f,w,b,w,t,b,f,s,g,n,p,w,o,e,h,v,l
p,x,f,g,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,n,y,d
p,x,f,g,f,n,f,c,b,h,e,b,k,k,w,b,p,w,o,l,h,s,g
e,f,y,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,l
p,f,y,e,f,f,f,c,n,b,t,,s,s,p,w,p,w,o,e,w,v,l
e,b,s,w,t,a,f,c,b,w,e,c,s,k,w,w,p,w,o,p,n,n,p
p,x,y,n,f,p,f,c,n,p,t,e,s,s,p,w,p,w,o,p,n,v,g
e,x,f,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,y,w
e,f,f,e,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,y,y,d
e,f,f,g,t,n,f,c,b,k,t,c,f,f,w,w,p,w,o,e,k,s,g
e,f,s,w,t,n,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
p,k,s,n,f,s,f,c,n,b,t,,k,s,w,w,p,w,o,l,w,v,d
p,x,y,g,t,f,f,c,b,h,t,e,s,s,w,w,p,w,o,p,h,v,d
p,x,f,g,f,f,f,c,b,b,t,b,k,s,w,w,p,w,o,l,w,y,g
p,f,y,g,f,f,f,c,n,g,e,b,s,s,b,n,p,w,o,l,h,y,g
p,b,s,y,t,f,f,c,b,h,t,,k,f,p,w,p,w,t,p,h,v,g
e,f,s,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,e,n,y,d
e,x,f,y,f,n,f,c,b,w,t,,s,s,w,g,p,w,o,p,w,y,d
e,x,f,g,f,n,f,w,n,p,t,e,s,f,w,w,p,w,o,e,n,a,d
e,f,y,c,f,f,f,w,n,w,t,b,k,f,w,n,p,w,o,e,h,v,g
p,k,y,e,f,s,f,c,n,k,t,r,s,s,w,p,p,w,o,e,w,v,d
e,x,y,n,f,y,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,y,d
p,x,s,e,f,f,f,c,n,h,t,,f,k,p,b,p,w,o,e,w,v,d
e,f,y,g,t,n,f,w,b,u,t,b,s,s,w,w,p,w,o,p,n,v,d
p,x,f,w,f,f,f,w,b,n,e,b,k,s,w,w,p,w,o,p,n,v,d
e,f,f,g,t,n,f,c,b,b,e,b,s,s,w,g,p,w,t,p,n,y,l
e,x,s,w,f,n,f,w,b,p,e,e,f,f,w,w,p,w,o,e,n,s,g
p,x,f,y,f,f,f,c,b,w,e,b,s,k,p,g,p,w,o,p,h,y,g
e,k,y,n,f,n,f,w,b,w,e,b,s,y,e,p,p,w,t,p,k,y,p
e,f,s,y,t,n,f,w,b,h,t,e,s,s,p,w,p,w,o,e,k,a,g
p,x,s,w,t,n,f,c,b,w,t,b,f,s,w,w,p,w,o,p,h,s,g
p,x,s,e,t,p,f,c,b,p,e,e,s,s,p,w,p,w,o,p,n,s,g
e,x,y,g,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,w,v,d
e,b,y,w,t,l,f,c,b,p,t,c,s,s,w,w,p,w,o,p,k,n,m
e,x,y,e,f,n,f,c,b,h,t,b,s,s,g,e,p,w,o,p,w,v,d
e,f,y,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,d
e,f,f,g,f,n,f,w,n,w,e,,k,s,p,w,p,w,t,p,w,n,g
p,x,y,n,t,s,f,c,n,b,t,,k,s,p,p,p,w,o,e,w,v,p
e,k,s,n,f,n,f,w,b,w,e,,k,s,w,w,p,w,t,p,w,v,l
p,k,y,n,f,f,f,c,n,b,t,,s,s,w,p,p,w,o,e,w,v,l
e,x,y,y,f,a,f,c,b,p,t,b,s,y,w,w,p,w,o,p,n,c,g
e,k,y,e,t,n,f,c,b,w,e,,s,s,w,w,p,w,t,e,w,c,l
e,x,s,e,t,l,f,c,b,w,e,c,s,s,g,w,p,w,o,p,n,s,d
e,x,y,g,t,a,f,c,b,u,e,r,s,y,w,w,p,w,o,p,w,v,p
e,k,s,w,f,n,f,c,b,g,e,,k,k,n,w,p,w,t,p,w,s,d
p,x,s,n,f,n,f,c,b,w,e,e,s,s,w,w,p,w,o,p,n,v,g
p,f,y,g,f,f,f,c,b,w,e,b,k,k,b,b,p,w,o,l,h,v,d
e,x,f,y,t,a,f,w,b,w,t,b,s,s,w,w,p,w,o,p,n,v,d
p,x,y,n,t,p,f,c,n,k,e,,s,k,p,w,p,w,o,p,k,s,g
p,x,f,n,t,n,f,c,n,p,e,,s,s,w,w,p,w,o,p,n,s,d
p,x,s,b,t,n,f,c,b,w,t,b,f,s,w,w,p,w,o,p,h,s,g
p,x,y,y,f,y,f,c,b,p,t,b,s,k,w,w,p,w,o,l,h,s,p
e,f,s,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g
p,x,y,w,f,f,f,c,n,w,t,b,f,s,p,b,p,w,o,l,w,v,g
p,x,y,y,f,f,f,c,b,h,t,b,k,s,p,b,p,w,o,l,h,v,g
p,x,y,n,f,n,f,c,n,b,t,,k,s,p,w,p,w,o,p,w,v,d
p,f,y,n,f,f,f,c,n,b,t,,s,s,w,p,p,w,o,p,w,v,d
p,f,s,e,t,s,f,c,n,b,t,,s,s,g,p,p,w,o,e,w,v,p
e,b,s,n,t,a,f,c,b,g,e,c,s,k,w,w,p,w,o,p,k,n,g
e,f,y,g,f,n,f,c,b,k,e,b,s,s,g,g,p,w,o,p,n,v,d
e,b,s,n,f,n,f,c,b,n,t,,s,s,o,e,p,o,o,p,w,v,l
p,f,f,n,f,y,f,c,n,b,t,,k,k,w,g,p,w,o,p,k,v,p
p,k,y,e,f,f,f,c,n,b,t,,s,k,w,w,p,w,o,e,w,v,p
p,x,s,e,f,f,f,c,b,b,t,b,s,f,w,n,p,w,o,p,h,v,d
p,x,f,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,d
p,k,s,n,f,f,f,c,n,h,t,,s,s,w,b,p,w,o,e,w,v,l
e,x,s,p,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,e,w,y,p
e,x,f,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g
e,x,f,e,t,n,f,c,b,p,t,,s,s,b,w,p,w,o,p,n,v,d
e,f,f,g,f,n,f,c,b,h,t,b,s,s,w,p,p,w,o,p,k,y,d
p,k,s,n,f,n,f,c,n,b,t,b,s,s,w,p,p,w,o,e,w,v,d
e,f,f,g,f,n,f,w,b,n,e,e,k,k,w,w,p,w,o,e,n,a,g
e,b,y,y,t,s,f,c,b,w,e,c,s,s,w,w,p,w,o,p,w,y,m
e,b,y,g,f,n,f,w,n,w,e,,k,s,w,w,p,w,t,p,w,v,g
e,s,f,g,f,n,f,c,n,p,t,e,s,s,w,w,p,w,o,p,n,y,u
p,f,s,n,f,y,f,c,n,b,t,b,s,k,w,p,p,w,o,e,w,y,p
e,x,f,g,t,f,f,c,b,u,t,,s,f,p,w,p,w,o,e,n,c,d
p,x,y,y,f,f,f,c,b,p,e,b,k,k,w,w,p,w,o,l,h,v,p
p,f,s,e,t,f,f,c,n,b,t,e,s,s,p,p,p,w,o,e,w,v,p
p,x,f,y,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,p,h,y,g
p,x,s,w,t,f,f,c,b,p,t,b,f,f,w,w,p,w,o,p,h,s,g
e,f,f,g,t,n,f,c,n,n,t,,s,s,g,p,p,w,o,p,k,v,d
p,f,s,n,t,f,f,c,b,h,t,b,s,s,w,w,p,w,o,p,h,v,u
e,x,f,n,t,n,f,c,b,u,t,b,s,k,g,w,p,w,o,p,n,y,d
p,x,y,g,f,f,f,c,n,b,t,,s,k,w,w,p,w,o,e,w,v,p
p,f,y,y,f,a,f,c,b,p,t,c,k,k,n,p,p,w,o,l,h,v,g
p,x,y,e,f,s,f,c,n,b,t,,s,k,w,p,p,w,o,p,w,s,g
e,f,y,g,t,n,f,c,n,p,e,e,s,s,g,w,p,w,o,e,k,y,d
e,x,f,g,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,y,d
e,x,y,y,t,l,f,c,b,p,t,r,s,k,w,w,p,w,o,p,n,y,g
e,f,f,n,t,n,f,c,b,w,t,b,s,s,p,g,p,o,o,p,h,y,d
p,k,f,e,f,s,f,c,n,b,e,,s,s,w,p,p,w,o,e,w,v,l
p,x,y,g,f,n,f,c,b,g,e,,k,k,n,w,p,w,o,l,h,v,d
e,f,s,e,t,n,f,c,b,w,t,b,k,s,p,g,p,w,o,p,n,y,d
e,f,s,n,f,f,a,c,b,b,e,,s,s,o,o,p,o,o,p,b,c,d
e,x,f,n,t,n,f,w,b,k,t,b,s,f,w,w,p,w,o,p,k,s,g
e,k,s,b,t,n,f,c,b,w,t,,s,s,w,w,p,w,o,e,h,c,g
e,x,s,p,t,n,f,c,b,k,t,e,s,s,e,w,p,w,o,e,w,c,w
e,x,y,y,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d
e,x,y,w,t,n,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m
p,f,y,e,f,s,f,w,n,b,t,,s,s,p,w,p,w,o,e,w,s,l
e,x,y,n,t,n,f,w,b,n,t,c,s,s,p,g,p,w,o,n,k,y,l
e,f,y,g,t,n,f,c,b,p,t,,k,s,p,w,p,w,o,l,k,v,d
p,x,y,y,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,p
e,b,s,y,f,n,f,w,n,k,t,b,f,s,w,w,p,w,o,e,k,s,g
e,x,f,e,t,s,f,c,b,g,t,b,s,s,p,w,p,w,o,e,n,y,d
p,f,y,w,f,f,f,w,n,g,t,b,s,k,w,n,p,w,o,l,h,y,m
p,x,s,n,f,f,f,c,n,b,t,b,k,s,w,p,p,w,o,e,w,v,g
p,x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
e,x,f,e,f,n,f,c,b,p,t,b,s,s,w,g,p,w,t,p,n,v,d
p,x,y,g,f,f,f,c,b,b,e,b,k,k,n,b,p,w,o,l,h,v,p
e,x,y,n,t,f,f,c,b,w,t,,s,y,w,w,p,w,o,p,k,y,l
p,f,f,g,f,f,f,c,n,p,e,b,k,k,w,n,p,w,o,l,h,v,d
p,x,s,e,f,y,f,c,n,b,t,,s,s,p,w,p,w,o,e,w,v,d
e,x,f,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,s,d
p,k,f,e,f,s,f,c,n,k,t,,s,s,p,w,p,w,o,e,w,v,d
p,x,s,n,f,f,f,c,n,b,t,,k,s,w,w,p,w,o,e,w,v,p
e,b,s,g,f,f,f,w,b,g,e,,s,k,w,n,p,w,o,p,w,n,g
p,f,s,e,f,y,f,c,b,b,t,,k,y,w,w,p,w,o,e,w,v,d
e,x,s,n,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,h,v,d
p,x,s,n,f,n,f,c,n,b,t,,k,s,w,w,p,w,o,e,w,v,d
e,x,s,c,t,n,f,c,b,w,t,b,s,s,w,w,p,w,t,p,k,v,d
p,f,f,y,f,n,f,c,b,h,e,b,k,s,b,b,p,w,o,l,w,y,p
p,x,s,w,f,f,f,c,n,p,t,b,s,f,w,w,p,w,o,p,h,s,g
p,x,y,e,f,s,f,c,n,u,t,,s,s,p,w,p,w,o,p,w,v,p
e,f,y,n,t,n,f,c,b,p,e,,k,s,p,w,p,w,o,p,n,y,d
e,x,s,w,t,l,f,w,n,n,t,r,s,s,w,w,p,w,o,p,n,y,u
p,x,y,g,f,f,f,c,b,p,e,b,s,k,b,b,p,w,o,p,h,y,d
p,x,f,g,f,c,f,c,n,n,e,b,s,s,p,w,p,w,o,p,k,v,p
e,x,y,e,t,f,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d
