class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,k,s,b,f,y,f,c,n,b,t,b,s,s,p,o,p,w,o,l,h,v,g
e,x,y,w,f,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d
e,f,f,g,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,w,v,d
e,s,f,g,f,n,f,c,b,p,e,e,s,s,w,w,p,w,o,p,n,y,u
p,f,s,g,f,f,f,c,b,w,e,b,k,k,w,p,p,w,o,l,k,y,d
p,x,s,e,f,n,f,c,b,p,t,,s,s,b,p,p,w,o,e,w,v,g
e,x,s,n,f,n,f,c,b,p,t,e,s,s,w,w,p,w,o,e,w,v,g
e,f,f,g,t,n,f,c,b,b,t,b,s,s,w,g,p,w,n,p,k,y,d
e,f,f,w,t,a,f,c,b,g,e,,s,s,w,b,p,w,o,e,h,v,m
p,x,s,g,f,n,f,c,n,w,t,b,k,k,p,p,p,w,o,e,h,v,d
p,f,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g
e,f,y,e,t,f,f,c,b,b,t,b,s,k,p,p,p,w,o,p,k,v,d
e,x,f,e,t,l,f,c,b,p,t,,s,s,w,p,p,w,o,p,n,y,d
e,x,y,g,t,n,f,c,b,u,e,c,f,s,w,w,p,w,o,p,n,v,d
p,x,f,g,f,c,f,c,n,n,e,b,s,s,w,g,p,w,o,l,k,s,d
p,f,y,y,f,n,f,c,n,p,e,b,k,s,p,b,p,w,o,l,h,y,g
e,x,y,g,t,n,f,w,b,b,e,b,s,s,w,g,p,w,o,e,k,v,d
e,x,s,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,l,k,y,p
e,f,s,n,t,a,f,c,b,n,t,,k,s,w,w,p,w,o,p,n,n,g
p,b,y,e,f,s,f,c,b,b,t,,s,k,p,w,p,w,o,e,w,s,p
e,x,f,g,f,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,v,d
p,x,f,y,f,f,f,c,b,b,e,b,k,k,p,p,p,w,o,l,h,v,d
p,f,f,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,e,h,y,d
e,f,f,e,t,n,f,c,b,b,t,b,s,s,g,g,p,w,o,e,n,y,p
p,f,y,g,f,f,f,c,b,h,t,b,k,k,p,p,p,w,o,l,h,n,p
p,x,y,e,f,s,f,c,n,b,t,,s,s,p,w,p,w,o,e,w,v,d
e,x,s,e,f,n,f,w,b,w,e,,s,s,w,w,p,w,t,l,w,n,l
e,x,s,y,t,a,f,c,b,p,e,c,s,y,w,w,p,w,o,p,k,y,g
e,f,y,e,t,n,f,c,b,n,e,b,s,s,n,g,p,w,o,p,k,y,d
p,f,s,n,f,f,f,c,b,b,t,,s,s,p,w,p,w,o,e,w,s,l
e,f,y,u,f,n,f,c,n,u,e,,f,f,w,w,p,w,o,e,h,y,d
p,f,f,y,f,f,f,w,n,g,e,b,k,k,w,w,p,w,o,l,h,y,d
p,x,f,p,f,c,f,w,n,h,e,b,s,s,w,w,p,w,o,e,k,v,d
p,k,f,g,f,n,f,w,n,g,t,b,s,s,w,w,p,w,o,l,n,v,d
p,b,y,n,f,n,f,c,n,w,e,,k,y,w,y,p,w,o,e,k,s,d
p,f,s,b,t,f,f,c,b,w,t,b,s,f,w,w,p,w,o,p,k,s,g
p,f,y,g,t,f,f,c,b,p,t,b,s,k,b,b,p,w,o,l,k,y,p
p,f,y,y,f,f,f,c,b,p,e,b,k,k,p,w,p,w,o,l,n,v,g
e,f,f,w,f,n,f,c,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g
e,s,f,c,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,h,v,u
e,b,f,g,f,n,f,w,b,g,e,,s,k,w,o,p,w,t,p,w,s,g
p,f,s,n,f,s,f,c,b,b,t,,k,s,p,w,p,w,o,e,w,v,d
e,x,f,y,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,w,y,d
e,f,y,g,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,y,d
e,x,y,b,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,l,n,y,d
p,f,y,n,f,f,f,c,n,n,t,,s,k,w,p,p,w,o,p,k,s,l
e,k,f,g,f,a,f,w,b,w,e,,k,s,w,w,p,w,t,p,w,s,g
p,k,y,n,f,f,f,c,n,b,t,,k,k,p,p,p,w,o,e,w,v,l
p,f,s,w,f,f,f,c,b,g,t,b,s,s,w,w,p,w,o,p,k,v,u
e,x,f,e,t,n,f,c,b,g,t,b,s,s,w,w,p,w,t,p,w,v,d
e,f,y,e,f,s,f,c,b,w,t,b,s,s,w,o,p,w,t,p,n,v,d
p,x,s,n,f,n,f,c,n,k,e,b,s,k,w,w,p,w,t,p,w,v,m
e,x,f,g,f,n,f,c,b,w,t,b,s,s,p,g,p,w,t,p,k,y,d
p,f,y,n,t,p,f,c,n,p,e,e,s,s,w,p,p,w,t,p,n,s,u
e,x,s,w,t,a,f,c,n,g,e,c,s,s,w,w,p,w,o,p,n,n,g
e,b,s,g,t,y,f,c,b,b,e,c,s,s,w,e,p,w,t,p,n,s,m
e,f,y,p,t,n,f,c,b,h,e,,s,s,w,w,p,w,t,e,n,c,g
e,x,f,n,t,n,f,c,b,n,t,b,k,s,p,g,p,w,o,p,k,v,d
e,f,y,y,t,l,f,c,b,n,t,r,s,f,p,w,p,w,o,p,h,s,g
e,f,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g
e,b,s,e,t,l,f,c,n,k,e,c,s,s,w,w,p,w,o,p,n,s,m
e,x,y,n,t,f,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d
p,x,s,g,f,n,f,c,b,p,t,b,s,s,w,w,p,w,o,e,h,s,u
e,x,y,w,f,n,f,w,b,h,t,e,f,k,w,w,p,w,o,e,n,s,g
e,f,s,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,h,v,g
e,x,f,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,y,d
e,x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g
e,x,s,w,t,a,f,c,b,w,e,c,k,s,w,w,p,w,o,p,h,s,g
p,x,s,e,f,s,f,c,n,b,t,,k,k,w,p,p,w,o,p,w,v,l
p,f,y,e,f,y,f,c,n,b,t,,k,k,p,w,p,w,o,e,w,v,l
p,f,s,y,f,f,f,c,b,h,e,b,k,k,w,p,p,w,o,l,h,s,d
p,k,f,g,f,l,f,c,b,p,e,b,k,s,b,n,p,w,o,e,h,v,d
p,x,y,y,f,n,f,c,n,g,e,b,s,s,w,w,p,w,o,p,k,v,d
p,x,y,e,f,y,f,c,b,w,e,c,k,y,c,c,p,w,n,n,w,c,d
e,f,y,g,t,n,f,c,n,u,t,b,s,s,w,w,p,w,o,p,k,y,d
p,k,y,e,f,y,f,c,n,b,e,,k,s,w,p,p,w,o,e,w,v,m
e,f,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,e,n,y,m
e,k,s,w,t,n,f,w,b,n,e,b,s,s,w,w,p,w,o,p,u,v,u
p,f,y,e,f,f,f,c,n,h,t,,s,s,w,p,p,w,o,e,w,v,p
e,f,y,e,t,n,f,c,b,p,e,b,s,s,w,w,p,w,o,p,n,v,p
e,f,s,n,f,n,a,c,b,y,t,,s,s,o,p,p,o,o,p,y,v,l
e,f,y,n,f,f,a,c,b,y,e,,s,s,o,o,p,o,o,p,w,a,l
e,b,f,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g
e,x,s,n,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,e,n,y,d
e,f,f,w,f,c,f,w,b,n,t,c,s,f,w,w,p,w,o,e,k,s,g
p,f,y,y,f,f,f,c,n,p,e,b,k,k,b,n,p,w,o,l,h,v,d
p,f,y,e,f,s,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,s,l
p,x,y,n,t,s,f,c,n,b,t,,s,k,p,w,p,w,o,e,w,s,l
p,k,s,w,f,s,f,c,n,b,t,,k,s,w,p,p,w,o,e,w,v,l
p,x,y,g,f,f,f,c,b,p,e,b,s,k,p,n,p,w,o,l,b,v,p
e,f,f,g,t,n,f,c,b,w,t,b,s,k,w,w,p,w,o,p,n,v,d
e,f,s,w,t,a,f,c,b,n,e,b,s,s,p,w,p,w,o,p,n,s,g
p,f,s,n,f,f,f,c,n,b,t,,s,s,w,w,p,w,o,e,w,v,l
p,f,f,n,t,p,f,c,b,n,e,,s,s,w,w,p,w,o,p,k,v,u
e,f,y,n,t,n,f,c,b,u,t,b,k,s,g,p,p,w,o,p,k,y,d
e,f,f,n,f,n,f,c,b,h,t,e,s,f,p,w,p,w,o,e,w,s,g
p,x,s,e,f,s,f,c,n,g,e,,s,f,p,w,p,w,o,e,w,v,l
p,f,y,g,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,p,h,v,g
e,b,f,w,f,n,f,w,n,w,e,,k,s,w,w,p,w,t,p,w,s,g
e,x,s,e,t,n,f,c,b,e,t,,s,s,e,e,p,w,o,e,h,c,w
e,x,s,w,f,a,f,w,b,b,t,e,s,f,w,w,p,w,o,p,n,a,g
e,f,y,g,t,n,f,c,b,u,t,b,s,s,n,n,p,w,o,p,n,y,d
e,f,f,n,f,f,f,w,b,k,t,e,s,k,w,p,p,w,o,e,h,a,g
p,f,y,n,t,p,f,c,n,n,t,e,s,s,w,b,p,w,o,p,k,s,u
e,x,y,y,t,f,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m
e,x,y,n,t,n,f,c,b,u,t,b,k,s,g,g,p,w,o,p,n,y,g
e,f,s,n,t,n,f,c,b,u,e,b,s,s,w,w,p,w,o,e,w,v,p
e,b,s,e,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m
p,x,y,g,f,f,f,c,b,h,t,b,k,k,b,p,p,w,o,l,k,y,g
e,f,f,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,y,d
e,x,f,g,t,f,f,w,b,p,t,b,s,s,w,g,p,w,o,p,n,s,g
p,k,y,g,f,f,f,c,n,b,t,,k,k,w,w,p,w,o,e,w,s,l
e,f,f,y,t,l,f,c,b,p,e,c,s,y,w,w,p,w,o,p,k,y,p
p,f,s,w,f,f,f,c,b,w,e,b,s,s,w,w,p,w,o,p,h,s,u
e,x,f,g,t,n,f,c,b,w,t,b,s,f,g,w,p,w,o,p,n,y,d
e,x,y,e,f,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,v,d
e,x,y,y,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,s,g
p,x,f,y,f,f,f,c,b,g,e,b,f,k,w,b,p,w,t,l,h,y,d
e,x,f,g,f,n,f,w,b,p,e,,s,s,p,w,p,w,o,p,w,n,g
p,x,s,e,t,y,f,c,n,b,t,,s,s,p,w,p,w,o,e,w,v,l
p,f,s,n,f,s,f,c,b,b,t,,s,s,p,w,p,w,o,e,w,v,p
p,x,f,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,p
p,f,y,e,f,f,f,c,n,b,t,,s,k,w,p,p,w,o,l,w,v,p
e,x,y,g,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,l,k,v,d
e,f,s,w,t,a,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,c,d
e,x,s,n,f,f,a,c,b,o,t,b,s,s,o,o,p,w,o,p,b,v,l
p,f,s,e,t,y,f,c,n,b,e,,s,s,p,w,p,w,o,l,n,v,d
e,x,f,w,f,n,f,w,b,b,t,e,f,s,w,w,p,w,o,e,k,a,g
e,x,s,n,f,n,f,w,b,w,t,e,f,s,w,p,p,w,o,p,k,a,d
e,f,s,w,f,n,f,w,b,b,e,e,s,f,w,w,p,w,o,e,k,v,g
e,x,s,g,f,n,f,w,b,n,e,e,f,s,w,w,p,w,o,p,n,a,g
e,k,y,g,f,n,f,c,b,p,e,,k,s,p,w,p,w,t,e,w,s,g
e,x,f,n,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g
e,f,f,e,f,n,f,c,n,g,e,e,s,k,w,p,p,w,o,p,w,v,u
e,x,s,n,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d
p,f,y,g,f,n,f,c,b,b,t,b,k,k,w,w,p,w,o,e,w,v,p
e,f,y,g,f,a,f,w,b,w,e,,s,s,e,w,p,w,t,e,w,c,w
e,f,f,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,p
e,x,f,n,t,n,f,c,b,w,e,b,s,s,w,p,p,w,o,p,n,a,d
p,f,y,g,f,f,f,c,b,p,e,b,k,s,p,b,p,w,o,l,h,v,d
e,b,s,y,t,a,f,c,b,p,e,b,s,s,w,w,p,w,o,p,n,s,m
e,x,f,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g
p,x,y,g,t,a,f,c,b,h,e,b,s,k,b,w,p,w,o,l,h,v,p
e,x,f,g,f,s,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,y,d
e,b,y,e,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,p
p,f,y,g,f,f,f,c,b,w,e,,k,k,g,b,p,w,o,l,k,v,p
p,k,s,n,t,y,f,c,n,b,t,b,s,k,w,w,p,w,o,e,w,v,w
p,x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g
p,x,s,e,f,c,f,c,n,b,t,,s,k,w,p,p,w,o,e,b,v,p
e,f,s,n,t,f,f,c,b,w,e,b,s,s,w,w,p,w,t,p,w,y,d
e,x,f,g,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,y,g
p,x,y,w,f,s,f,c,n,b,t,,s,k,w,p,p,w,o,p,w,y,d
e,f,y,g,t,n,f,c,b,w,t,b,k,s,p,g,p,w,o,p,w,y,d
e,f,s,y,t,a,f,c,b,b,e,c,s,s,w,w,p,o,o,p,k,n,m
p,x,f,w,f,f,f,w,b,h,e,b,k,k,p,p,p,w,o,p,h,s,d
e,x,s,e,t,n,f,c,b,b,t,b,s,s,w,w,p,w,o,p,n,y,d
e,x,f,g,t,n,a,c,b,p,t,b,f,s,p,p,p,w,o,p,n,v,d
e,f,y,y,t,n,f,w,b,u,t,b,s,s,p,w,p,w,o,p,n,v,d
p,x,s,n,f,y,f,c,n,b,t,,k,s,w,w,p,w,o,e,n,s,l
p,x,y,y,f,f,f,c,b,p,t,,k,k,p,b,p,w,o,l,w,v,g
p,f,s,w,f,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g
e,x,s,g,t,l,f,c,b,n,t,r,f,k,p,w,p,w,o,e,n,y,d
p,f,y,y,f,n,f,c,b,p,e,b,s,k,n,w,p,w,o,l,w,v,p
p,x,f,p,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,n,s,d
p,k,y,c,f,m,f,c,b,w,e,b,s,y,c,c,p,w,o,p,w,c,d
p,f,y,n,t,p,f,c,n,r,e,e,s,s,w,w,p,w,o,p,k,s,u
p,f,y,e,t,f,f,c,n,b,t,,s,s,w,w,p,w,o,e,w,v,g
p,x,y,g,f,s,f,c,n,b,t,,s,s,g,p,p,w,o,p,w,v,d
p,x,s,e,f,y,f,c,n,h,t,,s,s,p,w,p,w,o,p,w,v,d
p,x,y,n,f,f,f,c,n,b,e,c,k,s,w,w,p,w,o,e,w,v,g
p,x,y,g,f,f,f,c,b,g,e,b,k,s,n,w,p,w,o,l,n,v,g
p,f,y,y,f,s,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,p
p,x,s,y,t,f,f,c,b,p,e,b,k,s,p,n,p,w,o,l,h,n,p
e,x,y,y,t,l,f,c,b,k,e,,s,y,p,w,p,w,o,p,w,s,p
p,f,s,n,f,n,f,c,b,b,e,b,k,k,w,p,p,w,o,e,w,v,d
p,x,y,e,f,f,f,c,n,b,t,,s,k,p,w,p,w,o,e,k,v,p
e,x,s,n,t,n,f,c,b,w,e,,s,s,e,w,p,w,t,e,w,c,w
p,f,y,n,t,p,f,c,b,w,e,e,s,s,w,w,p,w,o,p,k,s,d
p,x,f,g,f,f,f,c,b,w,e,b,k,k,n,p,p,w,o,l,w,y,d
e,k,f,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g
p,x,y,p,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,e,n,s,d
p,f,y,y,f,f,f,c,b,h,e,,k,s,n,w,p,w,o,e,h,v,g
p,k,y,n,t,f,f,c,n,b,t,,k,s,w,w,p,w,o,e,w,v,d
p,x,s,n,f,f,f,c,n,b,t,,s,k,p,w,p,w,o,e,w,v,d
e,x,y,g,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,y,d
e,x,y,w,t,n,f,c,b,n,e,,s,s,w,w,p,w,o,p,w,s,m
e,x,y,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,h,y,d
e,x,y,u,f,n,f,c,n,p,e,,s,f,w,w,p,w,o,f,h,y,d
p,f,y,n,t,y,f,c,n,b,t,,s,s,w,p,p,w,o,e,w,v,d
p,x,y,e,f,s,f,c,b,b,t,,k,k,w,w,p,w,o,e,w,v,d
p,x,f,y,f,f,f,c,n,h,e,b,k,k,b,b,p,w,o,e,h,y,p
e,f,y,w,t,y,f,c,b,b,t,b,s,k,w,p,p,w,o,p,n,v,m
e,x,y,n,f,f,f,c,b,w,e,r,s,y,w,p,p,w,o,p,h,s,g
e,b,y,w,t,l,f,c,b,w,e,c,s,k,w,w,p,w,o,l,n,v,g
p,x,f,p,f,n,f,c,n,g,e,b,k,s,w,w,p,w,o,p,n,v,d
e,f,y,g,t,f,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,y,d
e,x,y,g,t,y,f,c,n,n,t,,s,s,p,p,p,w,o,e,k,v,d
e,b,f,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g
p,k,y,e,f,f,f,c,n,b,t,b,k,k,p,p,p,w,o,p,w,y,p
e,x,y,n,t,n,f,c,b,p,t,,s,s,p,g,p,w,o,p,w,y,d
p,f,f,g,t,s,f,c,b,n,e,b,k,k,w,b,p,w,o,l,h,y,d
e,x,s,g,f,n,f,w,b,g,e,,s,s,w,w,p,w,o,p,h,v,p
p,f,s,e,f,s,f,c,n,u,e,,s,k,p,p,p,w,o,e,w,v,d
e,f,s,g,f,n,f,c,b,h,e,,s,k,w,e,p,w,t,e,w,c,w
p,x,y,e,t,n,f,c,n,b,t,,k,k,w,w,p,w,o,e,w,v,p
e,k,s,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g
e,f,y,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,h,s,g
e,f,y,n,t,n,f,c,b,p,t,e,s,s,w,p,p,w,o,p,h,s,d
e,x,y,n,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,w,y,d
e,x,f,e,t,n,a,c,b,n,t,b,s,s,p,w,p,w,o,p,k,v,d
e,f,y,g,f,n,f,w,b,n,t,b,s,f,w,g,p,w,o,p,n,y,d
e,f,f,g,t,n,f,c,b,w,e,b,s,s,w,g,p,w,o,p,k,v,d
e,b,y,w,t,f,f,c,b,g,e,b,s,s,w,w,p,w,o,p,n,n,g
p,x,f,y,t,f,f,c,n,g,e,b,k,k,p,n,p,w,o,e,h,v,g
p,x,s,n,f,n,f,c,n,b,e,,f,k,p,p,p,w,o,e,w,v,d
e,f,s,e,t,n,f,c,b,w,e,b,s,s,w,g,p,w,o,e,k,y,d
e,x,s,n,f,n,f,c,b,n,e,,k,s,o,o,p,w,o,p,w,v,l
p,x,s,g,f,s,f,c,n,b,e,,k,s,w,p,p,w,o,e,w,v,p
e,x,f,g,f,f,f,c,n,w,e,e,s,s,w,w,p,w,o,l,n,v,g
e,f,f,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,y,p
p,k,y,n,f,y,f,c,b,b,t,,s,s,w,p,p,w,o,e,w,v,p
e,k,s,y,f,a,f,c,b,n,e,r,s,s,w,w,p,w,o,l,n,s,m
e,x,f,y,f,n,f,w,b,p,e,,s,s,w,w,p,n,o,p,n,v,g
e,x,y,e,f,n,f,c,b,u,t,b,k,s,w,w,p,w,o,p,k,s,d
p,b,y,e,f,y,f,c,n,b,t,,s,s,w,p,p,w,o,l,w,v,l
p,x,s,n,f,f,f,c,n,b,t,,s,s,w,w,p,w,o,e,w,v,l
e,k,y,n,t,p,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,d
e,x,y,b,f,n,f,c,b,w,t,,s,s,p,e,p,w,o,e,w,v,w
e,f,y,g,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,d
e,f,f,e,t,a,f,c,b,n,e,b,s,y,w,p,p,w,o,p,w,y,d
e,f,y,e,t,n,f,c,b,p,e,b,s,s,w,p,p,w,o,p,w,v,d
p,f,f,e,t,f,f,c,n,b,t,,s,k,n,w,p,w,o,e,w,v,d
e,b,f,w,f,n,f,w,b,w,e,,s,k,w,w,p,w,t,p,w,n,g
p,x,f,y,f,f,f,c,b,g,e,b,k,s,w,b,p,w,o,l,w,y,g
e,x,f,e,t,s,f,c,b,p,t,b,s,s,g,g,p,w,o,l,w,y,d
p,x,s,g,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,k,v,g
p,f,y,e,f,s,f,c,n,b,t,,s,k,p,p,p,w,o,e,w,v,d
e,k,s,g,f,y,f,c,b,p,e,,k,k,w,w,p,w,o,p,n,s,g
e,b,s,g,f,y,f,w,b,w,e,,s,s,w,w,p,w,t,p,w,s,g
e,f,f,n,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,v,d
e,x,y,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,v,d
p,f,f,y,f,f,f,c,b,p,e,,k,k,p,p,p,w,o,l,h,s,d
p,x,s,b,t,f,f,c,b,w,t,b,s,f,w,w,p,w,o,e,h,s,g
p,x,f,n,f,y,f,c,n,b,t,,s,k,p,w,p,w,o,l,n,v,d
p,x,f,e,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,g
p,f,y,n,f,f,f,c,n,b,t,,k,s,w,w,p,w,o,e,w,v,l
e,x,f,g,t,n,f,w,b,n,e,,s,s,p,w,p,w,o,p,k,v,d
e,f,f,n,t,n,f,c,b,w,t,c,s,s,w,w,p,w,o,p,k,v,d
p,f,y,y,f,n,f,c,b,p,t,b,s,k,p,n,p,w,o,p,h,y,g
p,f,y,y,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,d
p,k,s,e,f,y,f,c,n,b,t,,s,s,p,p,p,w,o,p,w,v,d
