class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,x,y,g,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,g
p,x,y,n,f,f,f,c,b,w,t,b,s,k,w,w,p,w,o,l,k,v,p
e,x,y,n,f,n,f,w,n,b,t,e,f,f,w,w,p,w,o,p,k,s,g
p,x,f,e,f,f,f,c,n,b,t,,k,s,w,p,p,w,o,e,w,v,p
p,x,y,n,f,n,f,c,b,p,e,e,k,k,p,p,p,w,o,l,h,v,g
p,f,y,n,f,m,a,c,b,y,e,c,s,y,p,c,p,w,n,e,w,c,d
p,x,s,b,t,n,f,c,b,h,t,b,s,s,w,w,p,w,o,p,k,s,u
p,k,f,y,f,f,f,c,b,p,e,b,s,k,n,n,p,w,o,l,h,y,p
p,k,y,y,t,f,f,c,n,b,t,,k,s,w,w,p,w,o,e,w,v,d
e,f,s,e,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,e,n,n,g
e,f,f,n,t,n,f,c,b,w,t,b,s,s,w,b,p,w,o,p,w,v,p
e,x,y,n,t,l,f,c,b,w,e,b,s,y,w,w,p,w,o,p,n,y,p
e,k,y,y,f,l,f,w,n,w,t,b,s,s,w,b,p,w,o,p,n,v,d
e,x,f,e,t,n,f,c,b,n,t,b,s,k,b,g,p,w,o,p,w,y,u
e,f,f,b,f,n,f,w,b,g,t,r,f,k,w,p,p,w,o,e,n,s,g
p,x,y,y,f,f,f,c,b,h,e,b,k,s,p,n,p,w,o,l,n,y,d
e,x,s,y,t,a,f,c,n,g,e,b,s,s,g,w,p,w,o,p,n,s,m
e,x,f,g,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d
e,b,f,n,t,n,f,c,b,p,t,b,s,s,g,o,p,w,o,l,n,v,p
p,f,s,e,f,n,f,c,b,p,t,,f,s,p,w,p,w,o,e,w,v,p
e,x,s,n,f,f,f,w,b,k,t,e,s,s,w,p,p,w,o,e,n,a,g
e,f,y,w,t,l,f,c,b,n,e,,s,y,w,w,p,w,o,p,k,y,p
p,f,s,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,p,n,y,d
p,k,y,n,f,y,f,c,n,b,t,,k,k,w,p,p,w,o,e,w,v,l
p,k,y,w,t,p,f,c,n,b,e,e,s,s,w,w,p,w,o,p,n,v,g
p,k,y,e,f,f,f,c,n,b,t,,k,s,n,w,p,w,o,e,h,v,g
p,x,y,y,f,f,f,c,b,w,e,b,k,k,n,n,p,w,o,l,w,v,g
e,x,s,w,t,f,f,c,b,h,e,e,s,s,w,w,p,w,o,p,w,s,m
p,x,f,e,f,f,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,y,l
p,k,y,e,f,f,f,c,n,b,t,,k,k,p,p,p,w,o,p,h,v,l
p,x,f,n,f,s,f,w,n,b,t,b,k,s,p,p,p,w,o,e,h,v,w
p,x,y,g,f,f,f,c,b,h,e,b,s,k,n,n,p,w,o,l,h,v,g
e,x,s,g,f,n,f,c,b,p,t,e,f,k,w,p,p,w,o,e,n,s,d
e,b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
p,k,y,n,t,n,f,c,b,b,t,,s,s,w,w,p,w,o,e,w,v,d
e,x,f,g,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,a,d
e,f,f,n,f,n,f,w,b,u,t,e,k,s,w,w,p,w,o,e,n,s,g
e,f,y,e,f,n,f,c,b,n,t,b,s,k,w,g,p,w,o,e,k,y,l
e,x,f,g,t,n,f,c,n,b,t,b,s,s,g,g,p,w,o,p,n,v,d
e,b,s,w,t,a,f,c,b,g,e,c,s,s,w,p,p,w,o,l,k,y,g
e,f,f,n,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,y,d
e,b,s,w,t,l,f,c,b,w,e,e,s,s,w,w,p,w,o,p,n,n,l
p,x,f,y,f,f,f,c,b,p,e,b,k,k,n,g,p,w,o,l,h,v,g
p,f,y,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,k,v,l
p,k,y,n,f,s,f,c,n,b,t,,s,k,p,p,p,w,o,e,w,v,d
p,k,y,n,f,c,f,c,n,u,t,,k,k,p,p,p,w,o,e,w,v,d
p,x,y,n,f,f,f,c,n,p,e,b,k,k,w,g,p,w,o,l,h,v,p
e,f,y,w,f,n,f,c,b,w,e,,s,s,e,w,p,w,t,p,w,v,w
p,f,f,n,f,y,f,c,n,b,t,,k,k,w,w,p,w,o,e,w,v,l
e,f,s,y,f,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m
e,f,s,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,u
p,x,y,n,f,y,f,c,n,b,t,,s,k,w,w,p,w,o,e,n,s,d
e,f,f,n,t,n,f,c,b,g,t,b,s,s,w,w,p,w,o,p,n,y,d
e,x,y,n,t,n,f,c,b,b,t,b,y,k,w,p,p,w,o,p,k,y,d
e,x,y,n,f,f,f,c,b,n,e,r,s,y,w,w,p,w,o,l,n,v,g
e,x,f,n,t,n,f,w,b,n,t,e,k,s,w,w,p,w,o,e,k,s,u
e,x,s,n,f,n,f,c,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g
p,k,s,e,f,s,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,d
p,x,f,g,f,n,f,c,n,g,e,b,k,s,p,n,p,w,o,l,h,v,g
p,k,s,e,f,y,f,c,n,b,t,,s,s,p,w,p,w,o,e,w,v,l
e,b,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,t,p,n,n,d
p,x,y,y,f,n,f,c,n,b,t,,f,k,w,p,p,w,o,e,k,y,l
e,f,s,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g
p,x,f,g,f,f,f,c,b,g,e,b,k,k,g,w,p,w,o,l,h,y,p
p,f,s,e,f,f,f,c,n,b,t,,s,s,p,p,p,w,o,e,k,v,d
e,x,s,n,t,n,f,c,b,e,t,,k,s,n,e,p,w,o,p,n,c,w
p,x,y,n,f,s,f,c,n,w,t,,k,k,w,w,p,w,o,e,w,v,l
p,f,f,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,w,v,p
e,x,f,y,t,n,f,c,b,n,e,b,s,s,w,w,p,w,o,p,k,s,m
p,f,y,e,t,y,f,c,n,w,e,,k,k,b,w,p,w,o,e,w,y,d
p,k,y,e,f,f,f,c,b,p,e,,k,k,b,n,p,w,o,l,h,y,p
p,f,s,n,f,f,f,c,n,k,t,,s,k,w,p,p,w,o,e,w,v,l
e,x,y,g,t,n,f,c,b,p,t,b,k,s,g,w,p,w,o,p,n,v,d
p,k,f,w,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,n,v,d
e,k,y,g,f,n,f,c,b,b,e,,k,s,w,w,p,w,o,e,h,c,w
e,f,y,y,t,l,f,c,b,p,e,r,s,k,w,w,p,w,o,p,k,s,d
e,x,f,w,t,a,f,w,n,p,t,b,s,s,g,w,p,w,o,p,u,v,d
p,f,s,p,t,n,f,c,b,p,e,b,k,s,w,w,p,w,t,p,r,v,m
p,x,s,p,f,c,f,c,n,g,e,r,s,s,w,w,p,w,o,p,n,v,d
e,f,y,e,t,n,f,c,b,b,t,b,s,s,g,p,p,w,o,p,n,n,d
e,x,f,w,f,n,f,w,b,n,t,,s,s,g,w,p,w,t,p,w,s,g
e,f,y,n,t,n,f,c,b,w,t,b,s,s,b,g,p,w,t,p,k,y,d
e,x,f,g,f,n,f,c,n,u,t,c,s,s,g,w,p,w,o,p,n,y,d
e,f,f,w,f,n,f,w,b,h,t,b,s,k,w,w,p,w,o,e,n,y,p
e,f,y,w,f,a,f,c,b,n,t,r,s,y,w,w,p,w,o,p,k,s,p
p,f,s,e,f,n,f,c,n,w,t,b,k,k,p,p,p,w,o,l,h,v,p
p,x,y,e,f,f,f,c,n,b,t,,k,k,w,w,p,w,o,e,w,y,d
e,f,f,w,t,a,f,c,b,n,e,c,s,k,g,w,p,w,o,p,w,n,m
e,f,s,w,f,n,f,w,b,k,t,e,f,s,w,p,p,w,o,e,w,s,g
e,x,y,g,f,f,f,w,b,k,t,e,f,f,p,w,p,w,t,e,n,a,g
e,f,y,y,t,a,f,c,b,n,e,r,s,y,p,g,p,w,o,n,n,y,p
p,f,y,g,f,f,f,c,b,h,e,b,f,s,b,b,p,w,o,e,h,y,p
p,f,y,n,f,f,f,c,n,h,e,b,k,k,p,n,p,w,o,l,h,y,d
p,x,s,e,f,y,f,c,n,b,t,,s,k,w,w,p,w,o,e,w,y,g
e,x,f,p,f,n,f,c,b,h,e,e,f,f,p,w,p,w,o,e,k,a,g
e,x,f,g,t,n,f,c,b,g,t,b,s,s,p,w,p,w,o,p,n,v,d
e,x,y,n,t,n,f,c,b,w,e,,s,s,w,w,p,w,t,p,w,v,p
p,x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,y,g
p,f,y,g,f,f,f,c,b,h,t,c,k,k,n,b,p,w,o,l,h,y,p
e,k,f,n,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,w,v,d
p,b,f,g,f,c,f,c,b,p,e,b,s,s,w,w,p,w,o,p,n,v,d
e,x,y,g,t,n,f,c,b,p,t,b,k,s,p,p,p,w,o,p,n,y,d
e,f,y,e,t,a,f,c,b,n,e,r,s,y,p,w,p,w,o,p,k,s,p
p,k,s,n,f,s,f,c,n,b,t,b,s,y,w,p,p,w,o,e,w,v,d
p,f,y,n,f,y,f,c,n,b,t,,s,s,w,p,p,w,o,e,w,v,d
p,k,s,e,f,n,f,c,n,b,t,,s,s,w,p,p,w,o,e,w,v,d
e,x,f,g,f,n,f,c,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g
p,f,y,g,f,p,f,c,n,w,t,,k,s,w,p,p,w,o,e,w,v,p
p,x,s,e,f,f,f,c,n,b,t,,k,s,w,w,p,w,o,e,w,v,d
p,x,s,w,f,s,f,c,n,b,t,,s,k,w,w,p,w,o,e,w,v,g
e,x,s,w,t,a,f,w,n,g,e,c,s,s,w,w,p,w,o,p,n,y,g
p,x,s,e,f,s,f,c,n,b,t,,k,s,w,p,p,w,o,e,n,y,p
p,k,s,g,f,f,f,c,n,w,e,,k,k,n,w,p,w,o,e,w,v,l
e,x,s,g,f,n,f,c,b,h,t,e,s,s,w,w,p,w,o,e,k,s,d
p,x,y,e,f,y,f,c,n,b,t,,s,k,w,p,p,w,o,e,w,v,d
e,x,y,w,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,e,n,c,d
p,x,y,e,f,y,f,c,n,b,t,c,s,k,w,w,p,w,t,e,h,y,d
p,k,y,n,f,y,f,c,n,b,t,,s,s,p,w,p,w,o,l,w,v,p
p,x,y,y,f,f,f,c,b,p,t,b,k,s,w,p,p,w,o,e,h,y,d
p,f,s,n,f,f,f,c,b,b,e,,k,k,w,w,p,w,o,p,w,v,l
e,x,s,n,f,a,f,c,b,n,t,e,k,s,w,w,p,w,o,p,k,s,g
e,f,s,n,t,n,f,c,b,n,t,b,s,s,p,n,p,w,o,e,n,v,d
p,x,y,w,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,k,s,d
e,b,s,w,f,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
p,k,y,e,f,f,f,c,n,b,t,,f,s,p,b,p,w,o,e,n,v,g
e,x,y,g,t,n,f,c,b,p,t,b,k,k,w,p,p,w,o,p,n,a,d
e,x,y,n,t,n,f,c,n,u,t,b,s,s,w,p,p,w,o,p,n,s,d
e,b,s,y,t,l,f,c,b,n,e,b,s,s,w,w,p,w,t,p,n,s,g
p,x,y,n,f,y,f,c,b,b,t,,s,k,w,p,p,w,o,l,w,v,g
p,f,s,b,t,n,f,c,b,r,t,b,s,s,b,w,p,w,t,p,n,v,g
p,x,f,g,f,s,f,c,n,b,t,b,k,s,w,p,p,w,o,p,w,v,g
p,x,s,n,f,s,f,c,n,e,t,b,s,s,w,p,p,w,o,e,w,v,d
p,k,y,e,f,f,f,c,n,b,t,,s,s,w,w,p,w,o,e,w,v,p
p,x,f,y,f,f,f,c,b,g,e,b,k,k,w,b,p,w,o,p,w,v,g
e,x,s,w,t,a,f,c,b,b,t,c,s,s,w,w,p,w,o,p,k,n,m
p,x,f,g,f,f,f,c,b,k,e,b,s,s,p,b,p,w,o,e,h,y,g
e,x,f,g,f,n,f,c,n,p,e,e,k,s,w,w,p,w,o,p,n,y,u
p,x,y,g,f,f,f,c,b,b,e,b,k,k,w,n,p,w,o,p,h,y,p
p,f,y,g,f,f,f,c,n,h,e,b,k,s,w,p,p,w,o,l,h,y,d
e,f,f,n,f,f,f,w,b,p,t,b,s,s,w,w,p,w,o,e,k,v,g
e,f,s,e,t,n,f,c,b,w,t,,s,k,e,e,p,w,t,e,w,c,w
p,x,s,y,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,g
e,f,f,g,f,n,f,w,b,p,t,b,s,s,w,w,p,w,o,e,n,a,d
e,b,s,n,f,y,f,c,b,y,e,b,s,s,o,o,p,n,o,p,b,c,l
p,k,s,n,f,s,f,c,n,b,t,,s,s,w,p,p,w,o,e,w,v,l
p,x,y,g,f,f,f,w,b,g,t,b,k,k,p,b,p,w,o,l,n,y,p
p,b,y,w,t,f,f,c,b,w,t,b,f,f,w,b,p,w,o,p,h,s,m
p,x,s,e,f,f,f,c,b,p,e,b,k,s,w,b,p,w,o,l,h,y,p
p,f,y,y,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,d
e,f,f,n,t,n,f,c,b,u,e,b,s,s,g,g,p,w,o,p,n,v,d
p,f,f,g,t,s,f,c,n,n,e,b,s,s,w,w,p,w,o,p,n,n,d
e,f,f,e,t,n,f,c,b,w,t,,s,s,w,g,p,w,o,p,k,y,m
p,x,y,e,f,y,f,c,b,u,t,,s,k,w,w,p,w,o,e,w,v,l
e,f,f,n,t,n,f,c,b,w,t,b,k,s,p,b,p,w,o,p,n,s,d
p,f,y,e,f,f,f,c,n,b,t,b,s,k,p,p,p,w,o,p,w,v,d
p,x,f,n,f,f,f,c,b,h,e,b,k,k,w,n,p,w,o,l,h,n,g
p,x,s,g,f,n,f,w,b,g,e,c,k,k,w,w,p,w,o,p,n,v,d
e,f,y,e,t,n,f,c,n,w,e,b,s,s,w,g,p,w,o,p,n,y,d
p,x,s,g,f,c,f,c,n,p,e,b,k,s,w,w,p,w,o,l,n,s,d
p,x,s,e,t,s,f,c,n,b,t,b,s,s,p,p,p,w,o,e,w,v,p
e,k,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,v,d
e,f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g
e,k,s,g,f,f,f,c,b,p,e,,s,s,w,w,p,w,o,e,w,v,g
e,x,y,n,t,n,f,c,b,k,e,,s,s,e,e,p,w,t,e,w,c,w
e,x,f,e,t,n,f,c,b,p,t,e,s,s,w,g,p,w,o,e,k,v,d
p,x,s,e,f,y,f,c,n,b,t,,s,s,p,w,p,w,o,e,w,v,p
e,x,s,g,t,n,f,c,b,u,e,b,s,s,p,p,p,w,o,p,k,a,d
e,f,f,n,t,n,f,c,n,w,t,e,s,s,p,w,p,w,o,p,k,v,d
e,x,s,n,f,n,a,c,b,y,e,,s,s,o,g,p,w,o,p,n,c,d
p,f,s,e,f,f,f,c,n,b,e,,k,s,p,w,p,w,o,e,w,v,p
e,x,f,e,t,n,f,c,b,e,e,,s,s,w,e,p,w,t,e,w,c,w
e,f,y,e,t,n,f,c,b,b,t,,s,s,p,g,p,w,o,p,n,y,d
p,k,f,e,f,s,f,c,n,b,e,,k,s,p,p,p,w,o,e,w,v,d
e,x,y,w,f,n,f,w,b,g,e,,s,s,w,w,p,w,t,p,w,n,g
p,b,s,e,f,n,f,c,n,b,t,,k,s,w,p,p,w,o,e,w,v,d
e,x,y,g,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,e,w,v,d
p,x,y,n,f,y,f,c,b,b,t,,k,s,w,w,p,w,o,e,w,y,l
e,k,s,w,f,n,f,w,b,g,t,,k,s,w,w,p,w,o,e,w,y,g
p,x,y,g,f,f,f,c,b,g,e,b,s,s,n,p,p,w,o,e,h,y,p
e,k,s,n,f,n,a,c,b,o,e,,s,k,o,o,p,o,o,p,o,c,l
e,f,f,y,f,n,f,w,b,h,e,e,s,s,w,w,p,w,o,p,n,s,g
e,x,y,n,t,n,f,c,b,p,e,b,s,s,p,g,p,w,o,p,n,y,g
p,k,s,e,f,f,f,c,n,b,e,,s,k,p,p,p,w,o,e,w,v,l
e,x,f,w,f,n,f,w,b,n,t,e,s,f,w,o,p,w,o,p,n,s,d
p,k,y,e,f,n,f,c,b,b,t,b,s,s,w,p,p,w,o,e,w,y,d
p,k,y,n,t,y,f,c,n,b,t,,s,f,p,w,p,w,o,e,w,v,g
e,x,s,e,t,f,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,v,d
p,x,y,n,t,p,f,c,n,p,e,e,f,f,w,w,p,w,o,p,n,y,u
e,f,y,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,y,d
e,f,f,g,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,y,d
p,x,y,e,f,f,f,c,b,b,t,b,k,k,p,p,p,w,o,e,w,v,l
p,k,s,e,f,s,f,c,n,b,t,,s,s,w,w,p,w,o,e,r,v,l
e,x,y,w,t,n,f,c,b,u,t,b,s,k,w,w,p,w,o,p,n,y,d
p,b,y,e,f,s,f,c,n,u,e,,k,k,w,p,p,w,o,e,w,v,p
p,k,y,n,f,f,f,c,n,g,e,,k,s,w,w,p,w,o,e,w,v,d
p,x,f,g,f,l,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,p
p,f,s,g,t,n,f,c,b,p,e,b,s,s,w,w,p,w,o,p,h,s,p
e,f,y,e,t,n,f,c,b,n,t,b,f,s,w,w,p,w,t,p,k,v,d
e,f,f,n,f,f,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g
p,b,s,n,f,n,f,c,n,b,t,b,k,s,w,w,p,w,o,n,w,v,p
e,x,s,n,f,n,f,c,b,g,t,e,f,f,w,w,p,w,o,e,k,v,g
e,f,f,n,t,n,f,c,b,o,t,b,s,s,p,w,p,w,o,p,n,v,d
e,f,f,n,t,n,f,c,b,b,t,b,s,s,w,w,p,w,o,p,k,v,d
e,x,f,g,f,l,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,v,d
e,x,f,n,f,n,f,w,b,h,e,e,f,s,w,w,p,w,o,e,w,y,d
e,f,y,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,w,y,d
e,f,y,e,t,n,f,c,b,h,t,b,s,s,w,w,p,w,o,p,k,y,d
p,k,s,c,f,m,f,c,b,y,e,c,k,y,c,c,p,w,n,n,w,c,d
p,f,f,y,f,f,f,c,b,n,e,b,k,k,n,p,p,w,o,l,n,v,g
p,f,y,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,p
e,x,s,p,t,n,f,c,b,e,e,,s,s,w,w,p,w,t,e,w,c,w
e,k,f,g,f,n,f,c,b,w,e,,s,s,w,w,p,w,t,p,w,y,g
e,f,y,g,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,v,d
e,x,y,n,f,l,f,c,b,b,e,e,s,s,w,g,p,w,o,p,k,v,d
e,f,y,n,f,l,f,c,b,w,e,r,s,s,w,w,p,w,o,p,n,s,g
p,k,s,n,f,s,f,c,n,b,t,e,s,k,p,w,p,w,o,p,w,v,p
p,f,y,y,f,f,f,c,b,h,t,b,k,k,p,n,p,w,o,l,h,n,d
e,f,y,p,t,n,f,c,n,w,e,,s,k,n,w,p,w,t,p,w,c,w
p,x,y,g,t,f,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,v,g
e,f,y,n,t,n,f,w,b,p,t,b,s,s,p,g,p,w,o,e,n,v,l
e,f,f,g,t,n,f,c,b,p,e,,s,s,w,e,p,w,t,e,w,c,w
e,x,s,e,t,n,f,c,n,u,t,b,s,s,g,g,p,w,o,p,k,v,d
e,x,y,w,f,n,f,w,b,g,t,e,f,f,w,w,p,w,o,e,k,s,g
p,x,y,g,f,n,f,w,b,h,e,b,k,k,p,n,p,w,t,l,h,v,p
p,x,y,g,t,n,f,c,b,h,e,,k,s,p,n,p,w,o,l,h,y,d
p,k,y,e,f,n,f,c,n,b,t,,s,s,b,w,p,w,o,e,w,v,d
p,x,s,n,f,n,f,c,b,b,t,,s,k,w,w,p,w,o,e,w,v,l
e,x,y,e,f,f,f,w,b,k,t,e,f,f,w,b,p,w,o,e,h,a,g
e,x,y,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d
e,x,y,n,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,y,d
e,x,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
e,f,f,e,t,s,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,y,d
e,x,y,w,f,n,f,w,b,p,e,,s,k,w,w,p,w,t,p,w,s,g
p,f,f,y,f,f,f,c,b,h,e,b,s,k,b,g,p,w,o,l,h,v,g
e,f,f,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,p,k,s,g
e,f,f,n,f,n,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,n,u
e,x,y,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g
e,f,s,y,t,n,f,c,b,w,t,b,k,s,p,p,p,w,o,p,n,v,d
p,x,f,n,f,y,f,c,n,b,t,,k,s,w,p,p,w,o,e,w,v,p
p,x,f,g,t,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,g
e,f,f,y,t,l,f,w,n,p,t,,k,s,b,w,p,w,o,p,u,s,d
e,b,s,g,f,n,f,w,b,g,e,r,s,s,w,w,p,w,t,e,w,s,u
p,f,y,y,f,y,f,c,n,b,e,,s,s,w,w,p,w,o,e,w,v,p
e,x,s,n,f,n,f,c,b,p,t,b,s,f,w,n,p,w,o,e,k,v,g
p,f,f,w,t,f,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,y,u
e,x,f,n,f,n,f,c,b,u,e,b,s,s,w,w,p,w,t,p,n,y,d
p,f,s,n,t,p,f,c,n,k,e,b,s,f,w,w,p,w,o,l,n,v,u
p,f,f,b,t,n,f,c,b,b,e,b,s,s,w,w,p,w,t,p,k,v,m
p,f,s,e,t,n,f,c,n,b,t,,s,s,p,p,p,w,o,e,w,v,p
p,f,s,b,f,f,f,c,b,h,t,b,s,s,w,w,p,w,o,p,h,s,u
e,f,s,n,f,n,f,w,b,h,t,e,f,s,w,p,p,w,o,e,n,a,g
